V_sep_liq[%],h_gc_out[kJ/kg],h_gc_mid[kJ/kg],T_mid[degC],T_gc_mid[degC],T_gc_out[degC],Q_heat_s1[kW],h_suc[kJ/kg],T_dis[degC],Q_heat_total[kW],Q_heat_s2[kW],h_dis[kJ/kg],W_comp[kW],h_eva_out[kJ/kg],T_app[K],label,condition
89.5150774287515,221.925422574718,362.68259602755,15.1951143524117,22.5887290154537,9.70255808168491,0.522175921619641,366.0724612894,24.209994316178,2.04872560379306,1.52654968217342,410.830394707553,0.644640264567679,363.39266434883,9.70255808168491,0,0pct
89.5150774287515,221.925422574718,362.68259602755,15.1951143524117,22.5887290154537,9.70255808168491,0.522175921619641,366.0724612894,24.209994316178,2.04872560379306,1.52654968217342,410.830394707553,0.644640264567679,363.39266434883,9.70255808168491,0,0pct
89.5150774294104,221.925420938413,362.682599185153,15.195114550591,22.5887292922938,9.7025574968311,0.522172241014424,366.072459298352,24.2099943209462,2.04871136753778,1.52653912652336,410.830393058841,0.644635790618038,363.392660941223,9.7025574968311,0,0pct
89.5150774294104,221.925420938413,362.682599185153,15.195114550591,22.5887292922938,9.7025574968311,0.522172241014424,366.072459298352,24.2099943209462,2.04871136753778,1.52653912652336,410.830393058841,0.644635790618038,363.392660941223,9.7025574968311,0,0pct
89.5150774298134,221.925420894553,362.682598415169,15.1951146173009,22.5887292260439,9.7025574748576,0.522174899660649,366.0724576294,24.2099936685713,2.04872183880488,1.52654693914423,410.830390771653,0.644639084067996,363.392659578846,9.7025574748576,0,0pct
89.5150774298134,221.925420894553,362.682598415169,15.1951146173009,22.5887292260439,9.7025574748576,0.522174899660649,366.0724576294,24.2099936685713,2.04872183880488,1.52654693914423,410.830390771653,0.644639084067996,363.392659578846,9.7025574748576,0,0pct
89.5150774299359,221.925421283785,362.682597582982,15.1951146634984,22.5887291984632,9.70255761709052,0.522179837235468,366.072457037636,24.20999339734,2.04874120164601,1.52656136441055,410.830389819306,0.644645175988557,363.39265930115,9.70255761709052,0,0pct
89.5150774299359,221.925421283785,362.682597582982,15.1951146634984,22.5887291984632,9.70255761709052,0.522179837235468,366.072457037636,24.20999339734,2.04874120164601,1.52656136441055,410.830389819306,0.644645175988557,363.39265930115,9.70255761709052,0,0pct
89.515077429913,221.925421614787,362.682597283877,15.1951146940052,22.5887292208724,9.7025577419256,0.522175693037913,366.072457092396,24.2099934295165,2.04872492593171,1.5265492328938,410.830389815754,0.644640055101554,363.392659445154,9.7025577419256,0,0pct
89.515077429913,221.925421614787,362.682597283877,15.1951146940052,22.5887292208724,9.7025577419256,0.522175693037913,366.072457092396,24.2099934295165,2.04872492593171,1.5265492328938,410.830389815754,0.644640055101554,363.392659445154,9.7025577419256,0,0pct
89.515077429879,221.92542178585,362.682597263697,15.1951147140047,22.58872925123,9.70255780802313,0.522171317035156,366.072457230147,24.2099935157432,2.04870774879408,1.52653643175892,410.830389987339,0.644634650781439,363.392659566035,9.70255780802313,0,0pct
89.515077429879,221.92542178585,362.682597263697,15.1951147140047,22.58872925123,9.70255780802313,0.522171317035156,366.072457230147,24.2099935157432,2.04870774879408,1.52653643175892,410.830389987339,0.644634650781439,363.392659566035,9.70255780802313,0,0pct
89.515077429858,221.925421851859,362.682597337371,15.1951147262811,22.5887292753518,9.7025578345698,0.522169169539988,366.072457328803,24.2099935864393,2.04869932103472,1.52653015149473,410.830390132748,0.644631999398305,363.392659618706,9.7025578345698,0,0pct
89.515077429858,221.925421851859,362.682597337371,15.1951147262811,22.5887292753518,9.7025578345698,0.522169169539988,366.072457328803,24.2099935864393,2.04869932103472,1.52653015149473,410.830390132748,0.644631999398305,363.392659618706,9.7025578345698,0,0pct
89.5150774298529,221.925421861986,362.682597401682,15.1951147322869,22.5887292877255,9.70255783936796,0.522168425063933,366.072457361532,24.2099936189142,2.04869640088313,1.5265279758192,410.830390191767,0.644631080795618,363.392659618,9.70255783936796,0,0pct
89.5150774298529,221.925421861986,362.682597401682,15.1951147322869,22.5887292877255,9.70255783936796,0.522168425063933,366.072457361532,24.2099936189142,2.04869640088313,1.5265279758192,410.830390191767,0.644631080795618,363.392659618,9.70255783936796,0,0pct
