h_gc_mid[kJ/kg],T_dis[degC],T_gc_mid[degC],h_suc[kJ/kg],P_eva_out[bar],V_air_outdoor[m/s],h_gc_out[kJ/kg],Q_heat_s2[kW],P_gc_mid[bar],W_comp[kW],binary_label,condition
237.24437280205623,90.75691353805027,90.37870304637714,567.2360134895665,-26.75089142480067,438.03662574282384,288.5836928657007,5.0270359790917,51.350314377776094,2.276891446503733,1,fault
237.24452782896972,90.75689287210429,90.37868127381296,567.2360586833356,-26.7508943334328,438.03662707807456,288.58380735777297,5.027039488143327,51.35034570611538,2.2768919759101247,1,fault
237.24467873253136,90.7568727543882,90.37866007892033,567.236102672244,-26.750897164558864,438.03662837813175,288.5839188042792,5.027042881775156,51.35037619992386,2.2768924812279705,1,fault
237.24482562222303,90.7568531709024,90.3786394469168,567.2361454888612,-26.750899920216167,438.0366296434582,288.58402728667164,5.027046195644588,51.35040588171671,2.276892977865232,1,fault
237.24496860433263,90.75683410785041,90.37861936324487,567.2361871648573,-26.750902602419128,438.03663087509346,288.5841328833485,5.027049433333341,51.350434773268766,2.276893466720696,1,fault
237.2451077825941,90.75681555162744,90.37859981355768,567.2362277308798,-26.750905213131688,438.03663207394743,288.5842356706187,5.02705257704463,51.35046289574018,2.276893939025169,1,fault
237.24524325791648,90.75679748891936,90.37858078381917,567.2362672166479,-26.750907754262528,438.0366332409063,288.5843357229374,5.027055635795453,51.35049026966533,2.2768943981724354,1,fault
237.24537502789087,90.75677991672963,90.37856227105857,567.2363056135702,-26.75091022561133,438.0366343717006,288.58443305892587,5.0270585987750485,51.35051689422284,2.2768948391086896,1,fault
237.24550339158753,90.75676280393942,90.37854424200319,567.2363430309564,-26.75091263335463,438.0366354819837,288.5845278425597,5.0270614988200215,51.35054283024368,2.2768952751567886,1,fault
237.2456283401469,90.75674614569633,90.37852669187258,567.236379448234,-26.75091497670627,438.0366365579708,288.58462011627694,5.027064317054502,51.35056807699584,2.2768956973902603,1,fault
237.24574996352308,90.75672993020733,90.37850960822541,567.2364148952091,-26.75091725762323,438.0366376053529,288.5847099369314,5.0270670627033756,51.350592651770235,2.276896109458183,1,fault
237.24586835076252,90.75671414589877,90.37849297885897,567.2364493982017,-26.750919477779487,438.0366386252628,288.5847973666903,5.027069742310598,51.35061657238265,2.276896513739608,1,fault
237.24598358791275,90.7566987814202,90.37847679180892,567.2364829823513,-26.75092163877196,438.0366396178836,288.5848824699261,5.027072338371555,51.35063985627147,2.2768969017199487,1,fault
237.2460957588792,90.75668382565613,90.37846103536057,567.2365156723599,-26.750923742184483,438.0366405840828,288.58496530853125,5.027074857509706,51.35066252044834,2.2768972758269124,1,fault
237.24620494506547,90.75666926779354,90.37844569811955,567.2365474920244,-26.75092578955136,438.03664152456474,288.5850459425864,5.0270773304805845,51.35068458140108,2.276897649433724,1,fault
