# Export CSV from Simcenter Amesim 2304 (encoding="UTF - 8 - BOM")
"Time - load=0.86 kg ""1""","liquid volume percentage - load=0.86 kg ""1""","liquid volume percentage - load=0.817 kg ""2""","liquid volume percentage - load=0.774 kg ""3""","liquid volume percentage - load=0.688 kg ""5""","liquid volume percentage - load=0.645 kg ""6""","liquid volume percentage - load=0.602 kg ""7""","liquid volume percentage - load=0.559 kg ""8""","liquid volume percentage - load=0.516 kg ""9""","liquid volume percentage - load=0.473 kg ""10""","liquid volume percentage - load=0.43 kg ""11"""
"s","%","%","%","%","%","%","%","%","%","%"
6.75000000000000e+03,8.95001974190074e+01,8.83655053733087e+01,7.99334469115564e+01,6.30693143523802e+01,5.46372480817526e+01,4.62051818173513e+01,3.77731155457207e+01,2.93410492785510e+01,2.09089830105867e+01,1.24769167450324e+01
6.76000000000000e+03,8.95001974190074e+01,8.83655056257039e+01,7.99334469571045e+01,6.30693143974547e+01,5.46372481264931e+01,4.62051818615881e+01,3.77731155896480e+01,2.93410493220492e+01,2.09089830536732e+01,1.24769167876434e+01
6.77000000000000e+03,8.95001974190074e+01,8.83655058727732e+01,7.99334470011168e+01,6.30693144413457e+01,5.46372481700569e+01,4.62051819046627e+01,3.77731156324201e+01,2.93410493644031e+01,2.09089830956283e+01,1.24769168291579e+01
6.78000000000000e+03,8.95001974190073e+01,8.83655061132730e+01,7.99334470440176e+01,6.30693144840830e+01,5.46372482124806e+01,4.62051819468367e+01,3.77731156740669e+01,2.93410494056425e+01,2.09089831364813e+01,1.24769168695497e+01
6.79000000000000e+03,8.95001974190074e+01,8.83655063458886e+01,7.99334470857987e+01,6.30693145256973e+01,5.46372482537794e+01,4.62051819876693e+01,3.77731157146183e+01,2.93410494457970e+01,2.09089831762603e+01,1.24769169088880e+01
6.80000000000000e+03,8.95001974190074e+01,8.83655065710959e+01,7.99334471264874e+01,6.30693145662173e+01,5.46372482939939e+01,4.62051820274283e+01,3.77731157541028e+01,2.93410494851362e+01,2.09089832149937e+01,1.24769169471947e+01
6.81000000000000e+03,8.95001974190074e+01,8.83655067917246e+01,7.99334471661105e+01,6.30693146056722e+01,5.46372483331692e+01,4.62051820661415e+01,3.77731157925483e+01,2.93410495231289e+01,2.09089832527084e+01,1.24769169844947e+01
6.82000000000000e+03,8.95001974190073e+01,8.83655070053730e+01,7.99334472046949e+01,6.30693146440895e+01,5.46372483712861e+01,4.62051821038367e+01,3.77731158299827e+01,2.93410495601653e+01,2.09089832894304e+01,1.24769170208143e+01
6.83000000000000e+03,8.95001974190074e+01,8.83655072157118e+01,7.99334472422668e+01,6.30693146815095e+01,5.46372484084071e+01,4.62051821405406e+01,3.77731158664329e+01,2.93410495962373e+01,2.09089833251865e+01,1.24769170561792e+01
6.84000000000000e+03,8.95001974190074e+01,8.83655074193559e+01,7.99334472788526e+01,6.30693147179243e+01,5.46372484445533e+01,4.62051821762785e+01,3.77731159019239e+01,2.93410496313674e+01,2.09089833600021e+01,1.24769170906141e+01
