# Export CSV from Simcenter Amesim 2304 (encoding="UTF - 8 - BOM")
"Time - load=0.86 kg ""1""","input signal at port 1 - load=0.86 kg ""1""","input signal at port 1 - load=0.817 kg ""2""","input signal at port 1 - load=0.774 kg ""3""","input signal at port 1 - load=0.688 kg ""5""","input signal at port 1 - load=0.645 kg ""6""","input signal at port 1 - load=0.602 kg ""7""","input signal at port 1 - load=0.559 kg ""8""","input signal at port 1 - load=0.516 kg ""9""","input signal at port 1 - load=0.473 kg ""10""","input signal at port 1 - load=0.43 kg ""11"""
"s","null","null","null","null","null","null","null","null","null","null"
3.45000000000000e+03,2.30858893154945e-02,2.68928186240024e-02,2.69251921472480e-02,2.69252436145050e-02,2.69253151728297e-02,2.69253883801104e-02,2.69254634645723e-02,2.69255402683758e-02,2.69256188055254e-02,2.69256990315555e-02
3.46000000000000e+03,2.30858893154945e-02,2.68938637470599e-02,2.69253774879910e-02,2.69254275930590e-02,2.69254972514041e-02,2.69255685163961e-02,2.69256415966923e-02,2.69257163722089e-02,2.69257928243496e-02,2.69258709202285e-02
3.47000000000000e+03,2.30858893154945e-02,2.68948811398832e-02,2.69255578997644e-02,2.69256066647102e-02,2.69256744888891e-02,2.69257438621573e-02,2.69258150003890e-02,2.69258877915912e-02,2.69259622140202e-02,2.69260382223238e-02
3.48000000000000e+03,2.30858893154945e-02,2.68958715368268e-02,2.69257335141540e-02,2.69257809891053e-02,2.69258470124685e-02,2.69259145447271e-02,2.69259837943449e-02,2.69260546525571e-02,2.69261270994032e-02,2.69262010890195e-02
3.49000000000000e+03,2.30858893154945e-02,2.68968356527984e-02,2.69259044576821e-02,2.69259506765045e-02,2.69260149484976e-02,2.69260806764277e-02,2.69261480983345e-02,2.69262170759594e-02,2.69262875997993e-02,2.69263596238270e-02
3.50000000000000e+03,2.30858893154945e-02,2.68977741838858e-02,2.69260708573690e-02,2.69261158524228e-02,2.69261784183929e-02,2.69262423709317e-02,2.69263080337522e-02,2.69263751785729e-02,2.69264438298967e-02,2.69265139402382e-02
3.51000000000000e+03,2.30858893154945e-02,2.68986878077242e-02,2.69262328309913e-02,2.69262766347534e-02,2.69263375399639e-02,2.69263997950583e-02,2.69264637156312e-02,2.69265290634530e-02,2.69265959046075e-02,2.69266641537353e-02
3.52000000000000e+03,2.30858893154945e-02,2.68995771808173e-02,2.69263904976890e-02,2.69264331421024e-02,2.69264924305524e-02,2.69265530338872e-02,2.69266152569353e-02,2.69266788689028e-02,2.69267439343913e-02,2.69268103704320e-02
3.53000000000000e+03,2.30858893154945e-02,2.69004429475515e-02,2.69265439709753e-02,2.69265854871809e-02,2.69266432017360e-02,2.69267021966903e-02,2.69267627676748e-02,2.69268246889091e-02,2.69268880276571e-02,2.69269526991803e-02
3.54000000000000e+03,2.30858893154945e-02,2.69012857365721e-02,2.69266933619318e-02,2.69267337813275e-02,2.69267899626850e-02,2.69268473919182e-02,2.69269063544470e-02,2.69269666317538e-02,2.69270282881800e-02,2.69270912420591e-02
3.55000000000000e+03,2.30858893154945e-02,2.69021061404090e-02,2.69268387680496e-02,2.69268781312586e-02,2.69269328194272e-02,2.69269887254240e-02,2.69270461222772e-02,2.69271047987628e-02,2.69271648178669e-02,2.69272260997134e-02
3.56000000000000e+03,2.30858893154945e-02,2.69029047801781e-02,2.69269803198246e-02,2.69270186415587e-02,2.69270718762274e-02,2.69271262989823e-02,2.69271821719252e-02,2.69272392907208e-02,2.69272977162969e-02,2.69273573701723e-02
3.57000000000000e+03,2.30858893154945e-02,2.69036822223958e-02,2.69271181070106e-02,2.69271554148064e-02,2.69272072353660e-02,2.69272602142232e-02,2.69273146036210e-02,2.69273702053154e-02,2.69274270792545e-02,2.69274851487033e-02
3.58000000000000e+03,2.30858893154945e-02,2.69044390226452e-02,2.69272522296809e-02,2.69272885503247e-02,2.69273389950959e-02,2.69273905675267e-02,2.69274435127445e-02,2.69274976376422e-02,2.69275530011235e-02,2.69276095281974e-02
3.59000000000000e+03,2.30858893154945e-02,2.69051757325461e-02,2.69273827852414e-02,2.69274181448135e-02,2.69274672503150e-02,2.69275174536226e-02,2.69275689920900e-02,2.69276216800996e-02,2.69276755727546e-02,2.69277305982591e-02
3.60000000000000e+03,2.30858893154945e-02,2.69058928801998e-02,2.69275098685019e-02,2.69275442916088e-02,2.69275920941763e-02,2.69276409646521e-02,2.69276911354834e-02,2.69277424223872e-02,2.69277948637589e-02,2.69278484484500e-02
3.61000000000000e+03,2.30858893154945e-02,2.69065909905091e-02,2.69276335717777e-02,2.69276670844505e-02,2.69277136173681e-02,2.69277611907081e-02,2.69278100289008e-02,2.69278599536773e-02,2.69279110016600e-02,2.69279631636244e-02
3.62000000000000e+03,2.30858893154945e-02,2.69072705642958e-02,2.69277539849354e-02,2.69277866112365e-02,2.69278319081985e-02,2.69278782038009e-02,2.69279257596995e-02,2.69279743577444e-02,2.69280240504395e-02,2.69280748263426e-02
3.63000000000000e+03,2.30858893154945e-02,2.69079320930862e-02,2.69278711954078e-02,2.69279029582986e-02,2.69279470525996e-02,2.69279921186495e-02,2.69280384119900e-02,2.69280857193138e-02,2.69281340921331e-02,2.69281835193133e-02
3.64000000000000e+03,2.30858893154945e-02,2.69085760529047e-02,2.69279852867818e-02,2.69280162106876e-02,2.69280591342175e-02,2.69281030036441e-02,2.69281480668425e-02,2.69281941184854e-02,2.69282412066472e-02,2.69282893207608e-02
3.65000000000000e+03,2.30858893154945e-02,2.69092028966559e-02,2.69280963323557e-02,2.69281264510311e-02,2.69281682344969e-02,2.69282109378262e-02,2.69282548054986e-02,2.69282996340696e-02,2.69283454717347e-02,2.69283923068171e-02
3.66000000000000e+03,2.30858893154945e-02,2.69098131081831e-02,2.69282044370058e-02,2.69282337584177e-02,2.69282744326951e-02,2.69283160020945e-02,2.69283587050525e-02,2.69284023427130e-02,2.69284469631111e-02,2.69284925538445e-02
3.67000000000000e+03,2.30858893154945e-02,2.69104071123006e-02,2.69283096662228e-02,2.69283382115505e-02,2.69283778073846e-02,2.69284182715369e-02,2.69284598396563e-02,2.69285023190652e-02,2.69285457545097e-02,2.69285901339423e-02
3.68000000000000e+03,2.30858893154945e-02,2.69109853441165e-02,2.69284120965576e-02,2.69284398866328e-02,2.69284784309024e-02,2.69285178204699e-02,2.69285582846212e-02,2.69285996357798e-02,2.69286419177175e-02,2.69286851180291e-02
3.69000000000000e+03,2.30858893154945e-02,2.69115482161179e-02,2.69285117995111e-02,2.69285388570297e-02,2.69285763776748e-02,2.69286147212496e-02,2.69286541107403e-02,2.69286943631814e-02,2.69287355226186e-02,2.69287775751532e-02
3.70000000000000e+03,2.30858893154945e-02,2.69120961378001e-02,2.69286088533248e-02,2.69286351946151e-02,2.69286717189347e-02,2.69287090442727e-02,2.69287473867087e-02,2.69287865709519e-02,2.69288266372506e-02,2.69288675725067e-02
3.71000000000000e+03,2.30858893154945e-02,2.69126295061613e-02,2.69287033255429e-02,2.69287289696958e-02,2.69287645159693e-02,2.69288008442448e-02,2.69288381609006e-02,2.69288763256805e-02,2.69289153278288e-02,2.69289551755189e-02
3.72000000000000e+03,2.30858893154945e-02,2.69131487080240e-02,2.69287952848071e-02,2.69288202499534e-02,2.69288548524341e-02,2.69288902159760e-02,2.69289265403933e-02,2.69289636926183e-02,2.69290016588400e-02,2.69290404478524e-02
3.73000000000000e+03,2.30858893154945e-02,2.69136541177545e-02,2.69288847979089e-02,2.69289091020245e-02,2.69289427857643e-02,2.69289772101946e-02,2.69290125696027e-02,2.69290487352328e-02,2.69290856930360e-02,2.69291234515113e-02
3.74000000000000e+03,2.30858893154945e-02,2.69141460813813e-02,2.69289719299208e-02,2.69289955687153e-02,2.69290283798915e-02,2.69290618757675e-02,2.69290963099686e-02,2.69291315153766e-02,2.69291674837981e-02,2.69292042468400e-02
3.75000000000000e+03,2.30858893154945e-02,2.69146249962484e-02,2.69290567441411e-02,2.69290797570253e-02,2.69291116836107e-02,2.69291443033225e-02,2.69291778230910e-02,2.69292120932181e-02,2.69292471062498e-02,2.69292828925480e-02
