h_eva_in[kJ/kg],P_dis[bar],P_gc_out[bar],Q_heat_s1[kW],T_air_in[degC],Q_heat_s2[kW],h_gc_mid[kJ/kg],T_eva_out[degC],T_mid[degC],W_comp[kW],P_gc_mid[bar],h_dis[kJ/kg],h_gc_out[kJ/kg],P_suc[bar],T_dis[degC],T_eva_in[degC],P_eva_out[bar],T_suc[degC],label,condition
435.8217320805198,136.43591535500468,11.73258561633304,2.327688646130789,23.165894156368665,4.552860046586137,222.9508711722944,2.1215178528132146,45.28816405931292,2.225171400455348,47.4988210732746,395.15625464809074,277.4086866368684,-28.287102796516905,92.6631344818748,16.153769824778227,-26.230530254448155,92.84986426139108,0,0pct
435.8217320805204,136.4359153550048,11.732585616334177,2.327688646130727,23.165894156368665,4.552860046586096,222.95087117229744,2.121517852813211,45.28816405931274,2.2251714004553693,47.498821073274655,395.1562546480892,277.4086866368687,-28.28710279651665,92.66313448187482,16.153769824778205,-26.230530254448208,92.84986426139108,0,0pct
435.82173208052,136.4359153550045,11.732585616332983,2.3276886477784675,23.16589415636844,4.5528600498089595,222.95087117229488,2.121517854314975,45.288164059312685,2.225171402030491,47.49882107327403,395.1562546480896,277.4086866368677,-28.28710279651682,92.66313448187508,16.153769824778216,-26.230530254448183,92.84986426139136,0,0pct
435.8217320805199,136.43591535500377,11.732585616332528,2.3276886477784746,23.165894156368665,4.55286004980896,222.95087117229397,2.1215178543149547,45.28816405931274,2.225171402030487,47.49882107327454,395.15625464808926,277.40868663686854,-28.287102796516507,92.66313448187488,16.15376982477823,-26.230530254448155,92.84986426139116,0,0pct
435.82173208051967,136.43591535500474,11.732585616331392,2.3276886477784653,23.165894156368665,4.55286004980896,222.9508711722948,2.1215178543149604,45.28816405931274,2.2251714020304947,47.4988210732742,395.15625464808977,277.4086866368692,-28.28710279651611,92.6631344818748,16.153769824778237,-26.230530254448126,92.84986426139108,0,0pct
435.8217320805206,136.4359153550048,11.732585616332017,2.327688649426136,23.165894156368665,4.552860053031781,222.9508711722948,2.1215178558167103,45.288164059312805,2.2251714036056454,47.49882107327392,395.15625464808767,277.40868663686933,-28.287102796515995,92.66313448187495,16.153769824778227,-26.230530254448155,92.84986426139123,0,0pct
435.82173208052103,136.4359153550061,11.732585616332017,2.327688649426132,23.165894156368665,4.5528600530317815,222.9508711722953,2.1215178558167245,45.288164059312805,2.2251714036056494,47.498821073273966,395.1562546480884,277.40868663686734,-28.28710279651571,92.6631344818749,16.153769824778216,-26.230530254448183,92.8498642613912,0,0pct
435.8217320805214,136.43591535500343,11.732585616335372,2.327688647778455,23.16589415636849,4.552860049808949,222.95087117229485,2.1215178543149533,45.28816405931274,2.225171402030494,47.49882107327403,395.1562546480888,277.4086866368706,-28.287102796516532,92.66313448187486,16.1537698247782,-26.230530254448208,92.84986426139112,0,0pct
435.8217320805204,136.43591535500394,11.73258561633304,2.327688649426179,23.16589415636872,4.552860053031786,222.95087117229392,2.121517855816709,45.28816405931274,2.225171403605607,47.498821073274485,395.15625464808994,277.4086866368681,-28.287102796516194,92.66313448187469,16.153769824778205,-26.230530254448208,92.84986426139095,0,0pct
435.82173208052075,136.43591535500508,11.732585616332868,2.327688647778447,23.165894156368665,4.552860049808964,222.95087117229485,2.121517854314966,45.28816405931274,2.225171402030517,47.498821073274485,395.1562546480886,277.4086866368692,-28.28710279651497,92.66313448187486,16.153769824778205,-26.230530254448208,92.84986426139112,0,0pct
435.8217320805208,136.4359153550049,11.732585616330311,2.3276886477784786,23.165894156368665,4.5528600498089755,222.95087117229417,2.121517854314988,45.288164059312685,2.225171402030496,47.498821073274485,395.1562546480898,277.40868663686734,-28.287102796517015,92.6631344818751,16.153769824778212,-26.230530254448183,92.84986426139136,0,0pct
435.8217320805196,136.4359153550045,11.732585616330825,2.327688647778471,23.165894156368665,4.552860049808964,222.95087117229392,2.1215178543149915,45.28816405931274,2.225171402030493,47.49882107327432,395.1562546480892,277.4086866368689,-28.287102796517587,92.66313448187488,16.15376982477822,-26.230530254448183,92.84986426139113,0,0pct
435.8217320805199,136.435915355006,11.732585616333497,2.3276886477784173,23.165894156368665,4.552860049808942,222.95087117229696,2.1215178543149738,45.28816405931292,2.225171402030525,47.49882107327437,395.15625464808886,277.4086866368671,-28.287102796515367,92.6631344818749,16.153769824778227,-26.230530254448155,92.8498642613912,0,0pct
435.82173208052,136.43591535500474,11.73258561633014,2.3276886494261397,23.16589415636861,4.552860053031768,222.95087117229536,2.1215178558167165,45.28816405931274,2.225171403605629,47.498821073274144,395.15625464808863,277.4086866368683,-28.287102796516592,92.66313448187488,16.153769824778227,-26.230530254448155,92.84986426139116,0,0pct
435.82173208051967,136.4359153550056,11.732585616333267,2.3276886494261424,23.16589415636849,4.552860053031782,222.95087117229536,2.121517855816722,45.288164059312805,2.22517140360564,47.49882107327437,395.156254648089,277.40868663686854,-28.287102796515935,92.66313448187508,16.153769824778234,-26.230530254448155,92.84986426139136,0,0pct
435.8217320805204,136.43591535500587,11.732585616333267,2.3276886494261286,23.165894156368665,4.552860053031758,222.95087117229744,2.1215178558167245,45.28816405931292,2.2251714036056285,47.49882107327442,395.15625464809045,277.40868663686894,-28.28710279651466,92.66313448187488,16.153769824778234,-26.230530254448155,92.84986426139113,0,0pct
435.82173208051927,136.4359153550036,11.732585616331336,2.327688647778475,23.16589415636872,4.552860049808944,222.95087117229528,2.12151785431496,45.28816405931274,2.225171402030469,47.498821073274485,395.15625464809045,277.40868663686985,-28.28710279651679,92.66313448187488,16.153769824778234,-26.230530254448155,92.84986426139113,0,0pct
435.82173208052046,136.43591535500502,11.732585616333212,2.327688644483023,23.165894156368665,4.552860043363281,222.95087117229744,2.1215178513114576,45.28816405931274,2.2251713988802577,47.4988210732742,395.1562546480888,277.40868663686746,-28.28710279651608,92.66313448187496,16.153769824778227,-26.230530254448155,92.8498642613912,0,0pct
